S17176_1:101		Capture_1:201		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		Capture_6:206		Capture_7:207		Capture_8:208		Capture_9:209		Capture_11:211		Capture_12:212		Capture_13:213		Capture_14:214		
350.106	-2	350.106	-3	350.106	0	350.106	1	350.106	-3	350.106	0	350.106	1	350.106	-1	350.106	-3	350.106	0	350.106	-1	350.106	-1	350.106	2	350.106	-1	
350.557	0	350.557	-6	350.557	-2	350.557	-3	350.557	0	350.557	5	350.557	-1	350.557	-1	350.557	-6	350.557	-8	350.557	-7	350.557	-3	350.557	-2	350.557	-3	
351.009	-1	351.009	-5	351.009	-2	351.009	-1	351.009	-3	351.009	-4	351.009	-2	351.009	-1	351.009	-4	351.009	-2	351.009	-4	351.009	-1	351.009	3	351.009	-4	
351.46	-2	351.46	0	351.46	0	351.46	-5	351.46	-5	351.46	-3	351.46	-5	351.46	-1	351.46	-4	351.46	-1	351.46	-1	351.46	-1	351.46	-5	351.46	1	
351.912	0	351.912	-2	351.912	-1	351.912	-2	351.912	-4	351.912	-5	351.912	-3	351.912	-1	351.912	-1	351.912	-6	351.912	-7	351.912	0	351.912	-2	351.912	-2	
352.364	-3	352.364	-2	352.364	-4	352.364	-9	352.364	-6	352.364	-1	352.364	-5	352.364	-5	352.364	-6	352.364	-4	352.364	-7	352.364	-6	352.364	-2	352.364	-3	
352.816	2	352.816	0	352.816	0	352.816	3	352.816	-1	352.816	5	352.816	-1	352.816	0	352.816	-1	352.816	3	352.816	2	352.816	2	352.816	1	352.816	3	
353.267	-1	353.267	2	353.267	-1	353.267	-2	353.267	0	353.267	-4	353.267	1	353.267	3	353.267	0	353.267	-3	353.267	0	353.267	1	353.267	-1	353.267	-2	
353.719	5	353.719	0	353.719	-3	353.719	1	353.719	-2	353.719	-4	353.719	1	353.719	1	353.719	-2	353.719	-1	353.719	-4	353.719	-3	353.719	-7	353.719	2	
354.172	-1	354.172	-3	354.172	0	354.172	2	354.172	-1	354.172	-1	354.172	0	354.172	-2	354.172	-2	354.172	8	354.172	-1	354.172	1	354.172	4	354.172	0	
354.624	-3	354.624	2	354.624	-1	354.624	0	354.624	-1	354.624	2	354.624	-4	354.624	1	354.624	-3	354.624	2	354.624	-1	354.624	0	354.624	-5	354.624	-1	
355.076	1	355.076	-1	355.076	-3	355.076	-7	355.076	-5	355.076	0	355.076	-5	355.076	0	355.076	-3	355.076	-4	355.076	-4	355.076	-3	355.076	-1	355.076	-4	
355.528	5	355.528	-3	355.528	3	355.528	6	355.528	4	355.528	3	355.528	3	355.528	3	355.528	4	355.528	2	355.528	3	355.528	1	355.528	3	355.528	2	
355.981	-2	355.981	1	355.981	0	355.981	-3	355.981	0	355.981	-3	355.981	-5	355.981	-3	355.981	-5	355.981	-2	355.981	-3	355.981	2	355.981	0	355.981	0	
356.433	0	356.433	-1	356.433	-6	356.433	-5	356.433	-2	356.433	-1	356.433	-2	356.433	-3	356.433	-2	356.433	0	356.433	1	356.433	-2	356.433	3	356.433	-2	
356.886	-5	356.886	-5	356.886	-7	356.886	-7	356.886	-7	356.886	-7	356.886	-9	356.886	-9	356.886	-8	356.886	-10	356.886	-5	356.886	-4	356.886	-4	356.886	-9	
357.338	-3	357.338	-2	357.338	3	357.338	0	357.338	-2	357.338	-7	357.338	-2	357.338	-1	357.338	-3	357.338	-5	357.338	-5	357.338	2	357.338	-3	357.338	-3	
357.791	1	357.791	-3	357.791	-2	357.791	-4	357.791	0	357.791	-2	357.791	0	357.791	-1	357.791	-4	357.791	0	357.791	-4	357.791	0	357.791	-1	357.791	2	
358.244	1	358.244	3	358.244	0	358.244	3	358.244	0	358.244	4	358.244	5	358.244	5	358.244	-1	358.244	7	358.244	2	358.244	3	358.244	2	358.244	3	
358.697	-3	358.697	-7	358.697	-5	358.697	-2	358.697	-5	358.697	-8	358.697	-8	358.697	-4	358.697	-6	358.697	-7	358.697	-7	358.697	-5	358.697	-5	358.697	-6	
359.15	0	359.15	1	359.15	-4	359.15	-5	359.15	0	359.15	-4	359.15	-1	359.15	1	359.15	0	359.15	1	359.15	-2	359.15	0	359.15	-3	359.15	0	
359.603	-5	359.603	-3	359.603	0	359.603	-4	359.603	-2	359.603	-2	359.603	-5	359.603	-5	359.603	-8	359.603	-4	359.603	-4	359.603	-1	359.603	-7	359.603	-5	
360.056	-1	360.056	2	360.056	-4	360.056	-4	360.056	-3	360.056	-3	360.056	-2	360.056	0	360.056	-3	360.056	-2	360.056	-4	360.056	-3	360.056	-4	360.056	-1	
360.509	-2	360.509	2	360.509	-2	360.509	0	360.509	0	360.509	3	360.509	-1	360.509	-1	360.509	2	360.509	-3	360.509	-1	360.509	1	360.509	-1	360.509	-2	
360.962	-1	360.962	-5	360.962	0	360.962	-2	360.962	-1	360.962	-5	360.962	-3	360.962	-5	360.962	-5	360.962	-6	360.962	-4	360.962	-3	360.962	-2	360.962	1	
361.416	4	361.416	0	361.416	5	361.416	0	361.416	0	361.416	3	361.416	1	361.416	1	361.416	-2	361.416	1	361.416	4	361.416	0	361.416	-2	361.416	3	
361.869	1	361.869	5	361.869	-1	361.869	0	361.869	-1	361.869	1	361.869	4	361.869	-3	361.869	-1	361.869	-1	361.869	0	361.869	0	361.869	-1	361.869	2	
362.323	-3	362.323	-5	362.323	-3	362.323	-3	362.323	-1	362.323	1	362.323	-4	362.323	-4	362.323	2	362.323	-1	362.323	-2	362.323	-4	362.323	0	362.323	-5	
362.776	-2	362.776	-3	362.776	-4	362.776	-4	362.776	-4	362.776	-5	362.776	-4	362.776	-6	362.776	-4	362.776	-8	362.776	-4	362.776	-6	362.776	-6	362.776	-6	
363.23	1	363.23	-4	363.23	-3	363.23	-2	363.23	-2	363.23	-5	363.23	-4	363.23	-2	363.23	-8	363.23	-3	363.23	-4	363.23	-3	363.23	-5	363.23	-5	
363.684	-5	363.684	-4	363.684	-6	363.684	-6	363.684	-8	363.684	-6	363.684	-6	363.684	-1	363.684	-4	363.684	-2	363.684	-6	363.684	-5	363.684	-3	363.684	-2	
364.138	5	364.138	4	364.138	2	364.138	5	364.138	0	364.138	-1	364.138	-2	364.138	-1	364.138	2	364.138	1	364.138	1	364.138	1	364.138	0	364.138	6	
364.591	2	364.591	0	364.591	0	364.591	-1	364.591	0	364.591	-2	364.591	-1	364.591	0	364.591	-3	364.591	-3	364.591	-2	364.591	3	364.591	4	364.591	-1	
365.045	-1	365.045	-5	365.045	2	365.045	-1	365.045	-1	365.045	0	365.045	-1	365.045	2	365.045	0	365.045	2	365.045	0	365.045	-4	365.045	-2	365.045	-2	
365.499	-2	365.499	4	365.499	1	365.499	0	365.499	-2	365.499	2	365.499	-3	365.499	2	365.499	-5	365.499	-1	365.499	3	365.499	-2	365.499	1	365.499	2	
365.954	1	365.954	2	365.954	0	365.954	4	365.954	-1	365.954	-4	365.954	0	365.954	2	365.954	-3	365.954	2	365.954	1	365.954	-1	365.954	-1	365.954	0	
366.408	-3	366.408	-7	366.408	0	366.408	-4	366.408	-7	366.408	-5	366.408	-4	366.408	-4	366.408	-1	366.408	-5	366.408	1	366.408	-4	366.408	-2	366.408	-5	
366.862	1	366.862	0	366.862	0	366.862	0	366.862	0	366.862	-2	366.862	-2	366.862	4	366.862	0	366.862	3	366.862	0	366.862	5	366.862	-3	366.862	1	
367.316	2	367.316	4	367.316	0	367.316	-1	367.316	3	367.316	1	367.316	5	367.316	4	367.316	-1	367.316	2	367.316	3	367.316	4	367.316	2	367.316	4	
367.771	1	367.771	5	367.771	-1	367.771	-2	367.771	0	367.771	-1	367.771	-1	367.771	0	367.771	-1	367.771	-5	367.771	-1	367.771	3	367.771	-3	367.771	2	
368.225	1	368.225	-1	368.225	5	368.225	-2	368.225	-1	368.225	-5	368.225	2	368.225	1	368.225	-1	368.225	4	368.225	-2	368.225	0	368.225	-1	368.225	1	
368.68	3	368.68	1	368.68	-2	368.68	-2	368.68	2	368.68	3	368.68	3	368.68	6	368.68	0	368.68	0	368.68	-1	368.68	-2	368.68	2	368.68	2	
369.135	3	369.135	3	369.135	-1	369.135	2	369.135	3	369.135	1	369.135	3	369.135	5	369.135	0	369.135	1	369.135	1	369.135	0	369.135	2	369.135	5	
369.59	0	369.59	-3	369.59	-2	369.59	3	369.59	-1	369.59	1	369.59	3	369.59	-1	369.59	-1	369.59	-1	369.59	-2	369.59	4	369.59	-2	369.59	0	
370.044	-2	370.044	-3	370.044	0	370.044	0	370.044	-1	370.044	-1	370.044	3	370.044	-1	370.044	2	370.044	0	370.044	0	370.044	3	370.044	0	370.044	0	
370.499	-4	370.499	-5	370.499	-4	370.499	-4	370.499	-2	370.499	-2	370.499	0	370.499	-3	370.499	-1	370.499	1	370.499	-4	370.499	-2	370.499	0	370.499	-5	
370.954	2	370.954	1	370.954	-1	370.954	-3	370.954	-1	370.954	1	370.954	0	370.954	2	370.954	-1	370.954	1	370.954	-3	370.954	1	370.954	-1	370.954	-1	
371.409	-3	371.409	-3	371.409	0	371.409	-2	371.409	-1	371.409	-1	371.409	1	371.409	-3	371.409	-3	371.409	-6	371.409	-4	371.409	0	371.409	-3	371.409	-2	
371.864	-6	371.864	-5	371.864	-2	371.864	2	371.864	-5	371.864	-8	371.864	-6	371.864	-7	371.864	-2	371.864	-4	371.864	-5	371.864	-7	371.864	0	371.864	-1	
372.32	2	372.32	-2	372.32	2	372.32	2	372.32	3	372.32	2	372.32	1	372.32	3	372.32	2	372.32	1	372.32	3	372.32	4	372.32	1	372.32	1	
372.775	5	372.775	4	372.775	-5	372.775	-1	372.775	4	372.775	1	372.775	3	372.775	0	372.775	3	372.775	3	372.775	6	372.775	-3	372.775	5	372.775	-1	
373.23	-7	373.23	-7	373.23	-2	373.23	-10	373.23	-4	373.23	-3	373.23	-2	373.23	-4	373.23	-1	373.23	-3	373.23	-4	373.23	-3	373.23	-7	373.23	-6	
373.686	-2	373.686	-3	373.686	2	373.686	-6	373.686	-3	373.686	-4	373.686	-4	373.686	-2	373.686	-6	373.686	-2	373.686	-4	373.686	2	373.686	-3	373.686	-7	
374.141	0	374.141	2	374.141	-1	374.141	0	374.141	5	374.141	-5	374.141	5	374.141	2	374.141	1	374.141	-2	374.141	-2	374.141	-2	374.141	-1	374.141	3	
374.597	2	374.597	3	374.597	1	374.597	4	374.597	3	374.597	3	374.597	0	374.597	0	374.597	1	374.597	1	374.597	2	374.597	5	374.597	2	374.597	3	
375.053	4	375.053	1	375.053	2	375.053	2	375.053	-1	375.053	-3	375.053	3	375.053	-5	375.053	-1	375.053	0	375.053	0	375.053	3	375.053	3	375.053	-1	
375.508	0	375.508	3	375.508	2	375.508	2	375.508	4	375.508	-4	375.508	3	375.508	5	375.508	0	375.508	2	375.508	3	375.508	4	375.508	3	375.508	4	
375.964	-5	375.964	-2	375.964	1	375.964	-5	375.964	-3	375.964	-6	375.964	-1	375.964	0	375.964	-4	375.964	-1	375.964	-5	375.964	-5	375.964	-2	375.964	-3	
376.42	3	376.42	-5	376.42	0	376.42	-7	376.42	-3	376.42	-4	376.42	-3	376.42	-2	376.42	-2	376.42	1	376.42	-6	376.42	-3	376.42	0	376.42	-4	
376.876	-10	376.876	-12	376.876	-11	376.876	-12	376.876	-14	376.876	-11	376.876	-12	376.876	-13	376.876	-14	376.876	-11	376.876	-11	376.876	-12	376.876	-12	376.876	-8	
377.332	1	377.332	-6	377.332	-1	377.332	0	377.332	2	377.332	-1	377.332	3	377.332	1	377.332	2	377.332	-2	377.332	1	377.332	2	377.332	2	377.332	1	
377.788	2	377.788	-1	377.788	0	377.788	2	377.788	2	377.788	-1	377.788	0	377.788	2	377.788	3	377.788	-1	377.788	-4	377.788	3	377.788	-1	377.788	-2	
378.244	2	378.244	2	378.244	-4	378.244	-2	378.244	3	378.244	0	378.244	-3	378.244	1	378.244	-1	378.244	-2	378.244	0	378.244	-1	378.244	3	378.244	-2	
378.701	3	378.701	3	378.701	2	378.701	0	378.701	3	378.701	4	378.701	-2	378.701	1	378.701	1	378.701	1	378.701	2	378.701	3	378.701	3	378.701	5	
379.157	1	379.157	0	379.157	2	379.157	0	379.157	-3	379.157	0	379.157	-1	379.157	1	379.157	-2	379.157	-4	379.157	-1	379.157	-3	379.157	1	379.157	-3	
379.614	0	379.614	-1	379.614	-2	379.614	3	379.614	7	379.614	0	379.614	-2	379.614	2	379.614	4	379.614	1	379.614	1	379.614	-1	379.614	0	379.614	0	
380.07	2	380.07	1	380.07	-4	380.07	1	380.07	4	380.07	0	380.07	0	380.07	2	380.07	-1	380.07	-1	380.07	2	380.07	-1	380.07	-1	380.07	-2	
380.527	2	380.527	1	380.527	4	380.527	3	380.527	-1	380.527	3	380.527	1	380.527	4	380.527	0	380.527	0	380.527	3	380.527	1	380.527	3	380.527	3	
380.983	-3	380.983	0	380.983	-2	380.983	-3	380.983	-1	380.983	0	380.983	0	380.983	-5	380.983	-2	380.983	-1	380.983	-3	380.983	-3	380.983	-2	380.983	-2	
381.44	2	381.44	3	381.44	3	381.44	-3	381.44	7	381.44	-1	381.44	3	381.44	4	381.44	1	381.44	5	381.44	1	381.44	-1	381.44	3	381.44	0	
381.897	-1	381.897	-1	381.897	-4	381.897	-3	381.897	0	381.897	-4	381.897	0	381.897	0	381.897	1	381.897	-3	381.897	-5	381.897	-1	381.897	-2	381.897	-1	
382.354	-3	382.354	-6	382.354	-2	382.354	-4	382.354	-3	382.354	-5	382.354	-2	382.354	3	382.354	-4	382.354	-3	382.354	-1	382.354	-2	382.354	-2	382.354	-2	
382.811	-1	382.811	-4	382.811	-2	382.811	-2	382.811	-2	382.811	3	382.811	1	382.811	-5	382.811	-1	382.811	3	382.811	-3	382.811	-1	382.811	0	382.811	2	
383.268	2	383.268	4	383.268	1	383.268	2	383.268	3	383.268	3	383.268	6	383.268	4	383.268	3	383.268	2	383.268	4	383.268	5	383.268	3	383.268	4	
383.725	2	383.725	1	383.725	1	383.725	3	383.725	5	383.725	3	383.725	4	383.725	2	383.725	3	383.725	2	383.725	-1	383.725	4	383.725	2	383.725	2	
384.182	1	384.182	2	384.182	1	384.182	1	384.182	1	384.182	5	384.182	2	384.182	2	384.182	0	384.182	1	384.182	1	384.182	-1	384.182	2	384.182	-1	
384.639	1	384.639	1	384.639	5	384.639	0	384.639	0	384.639	-1	384.639	3	384.639	1	384.639	-3	384.639	2	384.639	2	384.639	6	384.639	3	384.639	-3	
385.097	0	385.097	0	385.097	-1	385.097	2	385.097	1	385.097	-1	385.097	6	385.097	2	385.097	-1	385.097	0	385.097	3	385.097	0	385.097	-1	385.097	1	
385.554	1	385.554	3	385.554	-3	385.554	1	385.554	4	385.554	2	385.554	5	385.554	1	385.554	-1	385.554	2	385.554	0	385.554	3	385.554	-2	385.554	1	
386.011	-5	386.011	-7	386.011	-5	386.011	-7	386.011	-1	386.011	-7	386.011	-11	386.011	-9	386.011	-5	386.011	-8	386.011	-3	386.011	-7	386.011	-6	386.011	-8	
386.469	0	386.469	-1	386.469	-1	386.469	2	386.469	-4	386.469	-2	386.469	1	386.469	-1	386.469	-1	386.469	-1	386.469	2	386.469	-2	386.469	-2	386.469	2	
386.927	3	386.927	4	386.927	-1	386.927	3	386.927	1	386.927	-1	386.927	-4	386.927	-1	386.927	-5	386.927	1	386.927	-2	386.927	2	386.927	3	386.927	0	
387.384	1	387.384	-2	387.384	0	387.384	2	387.384	-2	387.384	0	387.384	-3	387.384	2	387.384	-2	387.384	-1	387.384	-2	387.384	2	387.384	2	387.384	1	
387.842	1	387.842	-1	387.842	-1	387.842	3	387.842	0	387.842	1	387.842	0	387.842	3	387.842	-4	387.842	2	387.842	1	387.842	-1	387.842	-3	387.842	-1	
388.3	2	388.3	4	388.3	-1	388.3	2	388.3	1	388.3	1	388.3	2	388.3	3	388.3	3	388.3	4	388.3	1	388.3	7	388.3	1	388.3	4	
388.758	-1	388.758	-1	388.758	1	388.758	-3	388.758	-2	388.758	-5	388.758	-3	388.758	-5	388.758	-3	388.758	-3	388.758	-1	388.758	1	388.758	-4	388.758	3	
389.216	-4	389.216	3	389.216	-2	389.216	-1	389.216	-3	389.216	-2	389.216	-4	389.216	-3	389.216	-3	389.216	-1	389.216	-3	389.216	-3	389.216	-8	389.216	-2	
389.674	4	389.674	6	389.674	4	389.674	4	389.674	1	389.674	3	389.674	3	389.674	6	389.674	1	389.674	6	389.674	0	389.674	3	389.674	-1	389.674	4	
390.132	2	390.132	1	390.132	0	390.132	1	390.132	0	390.132	2	390.132	2	390.132	7	390.132	-1	390.132	1	390.132	0	390.132	5	390.132	1	390.132	-3	
390.59	2	390.59	5	390.59	1	390.59	4	390.59	3	390.59	1	390.59	4	390.59	-4	390.59	1	390.59	1	390.59	6	390.59	6	390.59	2	390.59	1	
391.049	0	391.049	0	391.049	-3	391.049	-1	391.049	1	391.049	0	391.049	1	391.049	-3	391.049	4	391.049	-4	391.049	-5	391.049	1	391.049	-3	391.049	1	
391.507	2	391.507	-1	391.507	-5	391.507	-3	391.507	-1	391.507	-3	391.507	2	391.507	0	391.507	-1	391.507	-2	391.507	2	391.507	-1	391.507	-4	391.507	-2	
391.965	-2	391.965	1	391.965	3	391.965	4	391.965	1	391.965	-2	391.965	-3	391.965	0	391.965	-5	391.965	-3	391.965	3	391.965	2	391.965	1	391.965	2	
392.424	-5	392.424	2	392.424	-2	392.424	-1	392.424	-2	392.424	-1	392.424	-3	392.424	0	392.424	-2	392.424	-1	392.424	-1	392.424	5	392.424	-1	392.424	1	
392.882	1	392.882	3	392.882	3	392.882	0	392.882	5	392.882	1	392.882	2	392.882	1	392.882	1	392.882	-2	392.882	4	392.882	5	392.882	-2	392.882	3	
393.341	-5	393.341	-2	393.341	-6	393.341	-4	393.341	-3	393.341	-1	393.341	-3	393.341	2	393.341	-3	393.341	-2	393.341	-2	393.341	0	393.341	-3	393.341	-1	
393.8	-4	393.8	-1	393.8	-3	393.8	0	393.8	-1	393.8	-3	393.8	-4	393.8	-1	393.8	-1	393.8	-4	393.8	0	393.8	-1	393.8	-4	393.8	2	
394.259	-1	394.259	4	394.259	1	394.259	5	394.259	0	394.259	0	394.259	-2	394.259	-2	394.259	4	394.259	3	394.259	-2	394.259	1	394.259	-1	394.259	5	
394.718	5	394.718	1	394.718	3	394.718	1	394.718	1	394.718	-2	394.718	1	394.718	2	394.718	3	394.718	1	394.718	2	394.718	0	394.718	-1	394.718	-1	
395.176	-2	395.176	3	395.176	0	395.176	1	395.176	-4	395.176	2	395.176	3	395.176	5	395.176	3	395.176	0	395.176	5	395.176	1	395.176	0	395.176	-4	
395.635	1	395.635	0	395.635	0	395.635	1	395.635	-2	395.635	-1	395.635	3	395.635	2	395.635	-2	395.635	2	395.635	3	395.635	-1	395.635	0	395.635	3	
396.095	9	396.095	3	396.095	4	396.095	1	396.095	3	396.095	0	396.095	3	396.095	6	396.095	2	396.095	3	396.095	3	396.095	3	396.095	1	396.095	5	
396.554	1	396.554	5	396.554	-3	396.554	1	396.554	3	396.554	-1	396.554	3	396.554	1	396.554	-2	396.554	4	396.554	3	396.554	3	396.554	2	396.554	0	
397.013	-1	397.013	-2	397.013	-7	397.013	-7	397.013	-6	397.013	-6	397.013	-4	397.013	-1	397.013	-6	397.013	-6	397.013	-5	397.013	-4	397.013	-8	397.013	-6	
397.472	2	397.472	-2	397.472	3	397.472	-1	397.472	1	397.472	2	397.472	2	397.472	2	397.472	2	397.472	1	397.472	-2	397.472	3	397.472	-1	397.472	5	
397.932	-5	397.932	-3	397.932	-2	397.932	-3	397.932	-7	397.932	-4	397.932	-3	397.932	-6	397.932	-4	397.932	-8	397.932	-5	397.932	-7	397.932	-3	397.932	-1	
398.391	4	398.391	3	398.391	-2	398.391	-3	398.391	2	398.391	-1	398.391	-1	398.391	-1	398.391	-1	398.391	-2	398.391	2	398.391	4	398.391	2	398.391	1	
398.851	-1	398.851	0	398.851	0	398.851	-5	398.851	-2	398.851	-3	398.851	-2	398.851	-4	398.851	0	398.851	-2	398.851	-3	398.851	-1	398.851	-1	398.851	-1	
399.31	0	399.31	-2	399.31	0	399.31	0	399.31	0	399.31	-2	399.31	-1	399.31	-3	399.31	-3	399.31	-3	399.31	1	399.31	0	399.31	0	399.31	2	
399.77	-4	399.77	-7	399.77	-5	399.77	-5	399.77	-8	399.77	-5	399.77	-5	399.77	-11	399.77	-7	399.77	-9	399.77	-8	399.77	-2	399.77	-5	399.77	-2	
400.23	4	400.23	0	400.23	-4	400.23	1	400.23	3	400.23	-1	400.23	2	400.23	1	400.23	0	400.23	1	400.23	2	400.23	1	400.23	-1	400.23	1	
400.689	3	400.689	0	400.689	-7	400.689	0	400.689	0	400.689	-1	400.689	-5	400.689	3	400.689	3	400.689	1	400.689	0	400.689	-3	400.689	-2	400.689	-3	
401.149	1	401.149	3	401.149	6	401.149	1	401.149	3	401.149	8	401.149	-1	401.149	3	401.149	2	401.149	4	401.149	4	401.149	8	401.149	1	401.149	0	
401.609	-4	401.609	0	401.609	1	401.609	4	401.609	-2	401.609	-5	401.609	-1	401.609	0	401.609	-4	401.609	-2	401.609	-3	401.609	-1	401.609	-1	401.609	0	
402.069	3	402.069	1	402.069	2	402.069	5	402.069	5	402.069	4	402.069	2	402.069	2	402.069	2	402.069	-1	402.069	0	402.069	4	402.069	3	402.069	4	
402.529	3	402.529	3	402.529	1	402.529	2	402.529	6	402.529	1	402.529	-2	402.529	4	402.529	4	402.529	2	402.529	1	402.529	3	402.529	1	402.529	2	
402.989	-3	402.989	2	402.989	-2	402.989	0	402.989	0	402.989	1	402.989	1	402.989	1	402.989	0	402.989	-3	402.989	-1	402.989	2	402.989	-3	402.989	-3	
403.45	-8	403.45	-3	403.45	-3	403.45	-1	403.45	-9	403.45	-5	403.45	-11	403.45	-6	403.45	-4	403.45	-4	403.45	-5	403.45	-7	403.45	-7	403.45	0	
403.91	1	403.91	6	403.91	2	403.91	3	403.91	2	403.91	3	403.91	3	403.91	-2	403.91	-2	403.91	0	403.91	-2	403.91	2	403.91	1	403.91	6	
404.37	-2	404.37	-1	404.37	-1	404.37	-1	404.37	-1	404.37	-6	404.37	-4	404.37	-1	404.37	-2	404.37	-4	404.37	-3	404.37	-5	404.37	-3	404.37	-2	
404.831	0	404.831	1	404.831	4	404.831	1	404.831	3	404.831	2	404.831	-1	404.831	-1	404.831	3	404.831	2	404.831	2	404.831	1	404.831	2	404.831	2	
